GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0061298	retina vasculature development in camera-type eye	1.22e-02	1.22e-02	1	PDGFRB,PDGFRA,CYP1B1,COL4A1
GO:0051346	negative regulation of hydrolase activity	1.45e-02	1.45e-02	1	HGF,TIMP2,NGFR,ABL1,TIMP3,SERPINE1,SPOCK2,RECK,SH3BP4,SPOCD1,LRCH1,SYTL2,THBS1,ECM1,CRB2,SPOCK1,FARP1,GPSM1,SPRED1,CST1,TNFRSF10D,PLN,CR1,ELFN1,AQP1,ANXA8
GO:0052547	regulation of peptidase activity	4.89e-02	4.89e-02	1	FYN,HGF,TIMP2,NGFR,TIMP3,CAV1,SERPINE1,SPOCK2,F3,RECK,THBS1,ECM1,CRB2,SPOCK1,DLC1,CST1,SOX7,TNFRSF10D,F2R,MAPK12,DAPK1,CR1,AQP1,ANXA8
GO:0010466	negative regulation of peptidase activity	1.45e-02	1.45e-02	1	HGF,TIMP2,NGFR,TIMP3,SERPINE1,SPOCK2,RECK,THBS1,ECM1,CRB2,SPOCK1,CST1,TNFRSF10D,CR1,AQP1,ANXA8
GO:0010951	negative regulation of endopeptidase activity	3.35e-02	3.35e-02	1	HGF,NGFR,TIMP3,SERPINE1,SPOCK2,RECK,THBS1,CRB2,SPOCK1,CST1,TNFRSF10D,CR1,AQP1,ANXA8
GO:0010817	regulation of hormone levels	2.22e-03	2.22e-03	1	CYP26B1,HSD17B6,DKK3,PTPRN,TM7SF3,C1QTNF3,IL11,PCSK5,SFRP1,RAB11FIP2,CPE,GHR,SLC2A1,INHBA,ITPR2,SOX4,BMP2,LIF,ALDH1A2,RAB11FIP5,AGT,CYP1B1,CORIN,ADRA2A,CACNA1C,BMP6,IRS1,NLGN2,C1QTNF1,SOX11,ALDH1A3,MME,CACNA1H,DPP4
GO:0009914	hormone transport	2.26e-02	2.26e-02	1	PTPRN,TM7SF3,C1QTNF3,IL11,SFRP1,RAB11FIP2,SLC2A1,INHBA,ITPR2,SOX4,LIF,RAB11FIP5,AGT,ADRA2A,CACNA1C,IRS1,NLGN2,C1QTNF1,SOX11,DPP4
GO:0046879	hormone secretion	1.77e-02	1.77e-02	1	PTPRN,TM7SF3,C1QTNF3,IL11,SFRP1,RAB11FIP2,SLC2A1,INHBA,ITPR2,SOX4,LIF,RAB11FIP5,AGT,ADRA2A,CACNA1C,IRS1,NLGN2,C1QTNF1,SOX11,DPP4
GO:0046883	regulation of hormone secretion	2.19e-02	2.19e-02	1	TM7SF3,C1QTNF3,IL11,SFRP1,SLC2A1,INHBA,ITPR2,SOX4,LIF,RAB11FIP5,AGT,ADRA2A,CACNA1C,IRS1,NLGN2,C1QTNF1,SOX11,DPP4
GO:0046888	negative regulation of hormone secretion	7.83e-03	7.83e-03	1	IL11,SFRP1,INHBA,LIF,RAB11FIP5,ADRA2A,IRS1
GO:0034637	cellular carbohydrate biosynthetic process	6.16e-03	6.16e-03	1	IGF1,NDST1,SORBS1,SLC2A1,PPP1R3C,IGF2,IRS1,HAS2,EXT1,ENPP1
GO:0005976	polysaccharide metabolic process	1.65e-02	1.65e-02	1	IGF1,NDST1,SORBS1,PPP1R3C,GLT8D2,IGF2,IRS1,HAS2,PPP1R3B,EXT1,ENPP1
GO:0032881	regulation of polysaccharide metabolic process	2.68e-02	2.68e-02	1	IGF1,SORBS1,IGF2,IRS1,PPP1R3B,ENPP1
GO:0044264	cellular polysaccharide metabolic process	1.65e-02	1.65e-02	1	IGF1,NDST1,SORBS1,PPP1R3C,IGF2,IRS1,HAS2,PPP1R3B,EXT1,ENPP1
GO:0000271	polysaccharide biosynthetic process	5.39e-03	5.39e-03	1	IGF1,NDST1,SORBS1,PPP1R3C,GLT8D2,IGF2,IRS1,HAS2,EXT1,ENPP1
GO:0033692	cellular polysaccharide biosynthetic process	6.68e-03	6.68e-03	1	IGF1,NDST1,SORBS1,PPP1R3C,IGF2,IRS1,HAS2,EXT1,ENPP1
GO:0009250	glucan biosynthetic process	4.91e-02	4.91e-02	1	IGF1,SORBS1,PPP1R3C,IGF2,IRS1,ENPP1
GO:0010962	regulation of glucan biosynthetic process	2.50e-02	2.50e-02	1	IGF1,SORBS1,IGF2,IRS1,ENPP1
GO:0005978	glycogen biosynthetic process	4.91e-02	4.91e-02	1	IGF1,SORBS1,PPP1R3C,IGF2,IRS1,ENPP1
GO:0070873	regulation of glycogen metabolic process	9.65e-03	9.65e-03	1	IGF1,SORBS1,IGF2,IRS1,PPP1R3B,ENPP1
GO:0070875	positive regulation of glycogen metabolic process	3.52e-02	3.52e-02	1	IGF1,SORBS1,IGF2,IRS1
GO:0005979	regulation of glycogen biosynthetic process	2.50e-02	2.50e-02	1	IGF1,SORBS1,IGF2,IRS1,ENPP1
GO:0045725	positive regulation of glycogen biosynthetic process	2.86e-02	2.86e-02	1	IGF1,SORBS1,IGF2,IRS1
GO:0033687	osteoblast proliferation	4.69e-02	4.69e-02	1	SFRP1,BMP2,CYR61,GREM1,TMEM119
GO:0033688	regulation of osteoblast proliferation	3.50e-02	3.50e-02	1	SFRP1,BMP2,CYR61,GREM1,TMEM119
GO:0033690	positive regulation of osteoblast proliferation	2.22e-02	2.22e-02	1	BMP2,CYR61,TMEM119
GO:0040007	growth	3.36e-04	3.36e-04	1	IGF1,BCAR1,KIF26A,FGFR3,EVC,GLI2,NRCAM,ABL1,SFRP1,WFS1,SEMA5A,GHR,FGF1,RTN4,NRP2,INHBA,BMP4,SH3BP4,LRP4,AGT,SEMA7A,FGF7,NKD1,APP,SLIT2,SFRP2,NLGN4X,LRP12,LATS2,SPOCK1,GJA1,MMP14,CDA,DDR2,APBB2,ISLR2,GNG4,S1PR1,SOCS5,SPHK1,BASP1,GAS1,NOG,SLIT3,APOD,DACT3,ENPP1
GO:0048589	developmental growth	1.07e-03	1.07e-03	1	IGF1,FGFR3,EVC,GLI2,NRCAM,ABL1,SEMA5A,GHR,FGF1,RTN4,NRP2,BMP4,LRP4,SEMA7A,FGF7,NKD1,APP,SLIT2,NLGN4X,LATS2,DDR2,ISLR2,S1PR1,BASP1,GAS1,NOG,SLIT3,APOD
GO:0016049	cell growth	4.87e-02	4.87e-02	1	IGF1,BCAR1,KIF26A,NRCAM,ABL1,SFRP1,SEMA5A,RTN4,NRP2,INHBA,SH3BP4,AGT,SEMA7A,APP,SLIT2,SFRP2,SPOCK1,GJA1,MMP14,CDA,APBB2,ISLR2,GNG4,SOCS5,SPHK1,SLIT3,DACT3,ENPP1
GO:0040008	regulation of growth	8.05e-03	8.05e-03	1	IGF1,BCAR1,KIF26A,FGFR3,NRCAM,ABL1,SFRP1,WFS1,SEMA5A,GHR,RTN4,INHBA,BMP4,SH3BP4,AGT,SEMA7A,NKD1,APP,SLIT2,SFRP2,LRP12,LATS2,SPOCK1,GJA1,MMP14,CDA,APBB2,ISLR2,GNG4,SPHK1,BASP1,NOG,SLIT3,DACT3,ENPP1
GO:0035265	organ growth	4.89e-02	4.89e-02	1	IGF1,FGFR3,EVC,FGF7,NLGN4X,LATS2,DDR2,S1PR1,BASP1,NOG
GO:0098868	bone growth	4.48e-02	4.48e-02	1	FGFR3,EVC,DDR2
GO:0003416	endochondral bone growth	2.22e-02	2.22e-02	1	FGFR3,EVC,DDR2
GO:0045926	negative regulation of growth	1.67e-02	1.67e-02	1	FGFR3,SFRP1,SEMA5A,RTN4,INHBA,BMP4,SH3BP4,NKD1,SLIT2,SFRP2,GJA1,CDA,APBB2,GNG4,NOG,SLIT3,DACT3,ENPP1
GO:0060560	developmental growth involved in morphogenesis	1.97e-02	1.97e-02	1	NRCAM,ABL1,SEMA5A,FGF1,RTN4,NRP2,BMP4,SEMA7A,NKD1,APP,SLIT2,ISLR2,S1PR1,SLIT3
GO:0001558	regulation of cell growth	3.60e-02	3.60e-02	1	IGF1,BCAR1,KIF26A,NRCAM,ABL1,SFRP1,SEMA5A,RTN4,INHBA,SH3BP4,AGT,SEMA7A,SLIT2,SFRP2,SPOCK1,GJA1,MMP14,CDA,APBB2,ISLR2,GNG4,SPHK1,SLIT3,DACT3,ENPP1
GO:0030308	negative regulation of cell growth	3.02e-02	3.02e-02	1	SFRP1,SEMA5A,RTN4,INHBA,SH3BP4,SLIT2,SFRP2,GJA1,CDA,APBB2,GNG4,SLIT3,DACT3,ENPP1
GO:0048863	stem cell differentiation	2.86e-02	2.86e-02	1	SNAI2,SEMA3C,ABL1,SFRP1,FN1,PDGFRA,PRICKLE1,HMGA2,FZD1,KIT,RUNX1,HAND2,GREM1,SOX11
GO:0033622	integrin activation	3.73e-03	3.73e-03	1	FERMT2,COL16A1,CXCL12,FN1,FBLIM1,SELP
GO:0048483	autonomic nervous system development	4.69e-02	4.69e-02	1	KIF26A,FN1,NRP2,SOX4,SOX11
GO:0060322	head development	3.88e-05	3.88e-05	1	GLI2,LAMB1,SMARCA1,CRISPLD2,CDK6,LHX6,SEMA5A,RTN4,TGFB3,CRISPLD1,INHBA,EGR2,BMP4,BMP2,SMO,NES,WNT2B,ZNF365,HSPG2,SLIT2,NLGN4X,NTRK2,FZD1,SKI,SHROOM4,TGFBR2,DLC1,COL3A1,CDK5R1,BASP1,NOG,CLDN5,ROBO2,COL4A1,APOD,PCDH18,FAT4,AQP1
GO:0060324	face development	2.50e-02	2.50e-02	1	CRISPLD2,TGFB3,CRISPLD1,SKI,CLDN5
GO:0010171	body morphogenesis	4.35e-03	4.35e-03	1	PHLDB1,CRISPLD2,TGFB3,CRISPLD1,PHLDB2,SKI,CLDN5
GO:0060323	head morphogenesis	1.68e-02	1.68e-02	1	CRISPLD2,TGFB3,CRISPLD1,SKI,CLDN5
GO:0060325	face morphogenesis	1.07e-02	1.07e-02	1	CRISPLD2,TGFB3,CRISPLD1,SKI,CLDN5
GO:0007417	central nervous system development	2.28e-05	2.28e-05	1	FYN,VCAN,GLI2,CHRD,NRCAM,LAMB1,SMARCA1,DRP2,CDK6,LHX6,CNTNAP1,SEMA5A,RTN4,PKD2,INHBA,EGR2,LRP1,SOX4,BMP4,BMP2,SMO,NES,DCLK1,WNT2B,ZNF365,APP,HSPG2,SLIT2,NLGN4X,NTRK2,SPOCK1,PRDM8,FZD1,ACAN,SKI,SHROOM4,TGFBR2,DLC1,COL3A1,CDK5R1,BASP1,SOX11,NOG,ROBO2,COL4A1,APOD,PCDH18,FAT4,AQP1
GO:0007420	brain development	3.15e-04	3.15e-04	1	GLI2,LAMB1,SMARCA1,CDK6,LHX6,SEMA5A,RTN4,INHBA,EGR2,BMP4,BMP2,SMO,NES,WNT2B,ZNF365,HSPG2,SLIT2,NLGN4X,NTRK2,FZD1,SKI,SHROOM4,TGFBR2,DLC1,COL3A1,CDK5R1,BASP1,NOG,ROBO2,COL4A1,APOD,PCDH18,FAT4,AQP1
GO:0030900	forebrain development	4.14e-04	4.14e-04	1	GLI2,LAMB1,CDK6,LHX6,SEMA5A,RTN4,INHBA,BMP4,BMP2,SMO,WNT2B,SLIT2,NTRK2,SKI,DLC1,COL3A1,ROBO2,FAT4,AQP1
GO:0021537	telencephalon development	1.44e-03	1.44e-03	1	LAMB1,CDK6,LHX6,RTN4,INHBA,BMP4,BMP2,SLIT2,NTRK2,SKI,COL3A1,ROBO2,FAT4,AQP1
GO:0021543	pallium development	3.61e-02	3.61e-02	1	LAMB1,CDK6,LHX6,RTN4,SLIT2,NTRK2,COL3A1,FAT4
GO:0021987	cerebral cortex development	3.88e-02	3.88e-02	1	LAMB1,LHX6,RTN4,SLIT2,NTRK2,COL3A1,FAT4
GO:0003013	circulatory system process	6.03e-03	6.03e-03	1	CACNA1G,FYN,ELN,PCSK5,DMPK,CAV1,CXCL12,PDE4D,TEK,KCNJ8,ITPR2,EDN2,ATP1B2,AGT,TPM1,SLIT2,CORIN,CACNA1C,EDNRA,GJA1,ANGPT1,COL1A2,SGCD,AKAP13,KCNK3,HSPB7,CD34,DES,F2R,GJC1,PDE2A,MME,CACNA1H,PLN
GO:0003015	heart process	7.46e-03	7.46e-03	1	CACNA1G,FYN,DMPK,CAV1,PDE4D,KCNJ8,ITPR2,EDN2,ATP1B2,AGT,TPM1,CORIN,CACNA1C,GJA1,SGCD,AKAP13,KCNK3,HSPB7,DES,GJC1,CACNA1H,PLN
GO:0008015	blood circulation	1.53e-02	1.53e-02	1	CACNA1G,ELN,PCSK5,DMPK,CAV1,CXCL12,PDE4D,TEK,KCNJ8,ITPR2,EDN2,ATP1B2,AGT,TPM1,SLIT2,CORIN,CACNA1C,EDNRA,GJA1,ANGPT1,COL1A2,SGCD,KCNK3,HSPB7,CD34,DES,F2R,GJC1,PDE2A,MME,CACNA1H,PLN
GO:0060047	heart contraction	2.26e-02	2.26e-02	1	CACNA1G,DMPK,CAV1,PDE4D,KCNJ8,ITPR2,EDN2,ATP1B2,AGT,TPM1,CORIN,CACNA1C,GJA1,SGCD,KCNK3,HSPB7,DES,GJC1,CACNA1H,PLN
GO:0008016	regulation of heart contraction	3.03e-02	3.03e-02	1	CACNA1G,DMPK,CAV1,PDE4D,ITPR2,EDN2,ATP1B2,AGT,TPM1,CORIN,CACNA1C,GJA1,KCNK3,HSPB7,DES,GJC1,CACNA1H,PLN
GO:1900449	regulation of glutamate receptor signaling pathway	4.45e-02	4.45e-02	1	FYN,CACNG4,DLG4,APP,NLGN2,DAPK1
GO:0032963	collagen metabolic process	4.47e-07	4.47e-07	1	MRC2,VIM,TRAM2,FAP,MMP2,MMP11,COL1A1,TGFB3,BMP4,COL5A1,CTSK,ITGB1,MMP14,CREB3L1,MFAP4,TNXB,F2R,COL15A1
GO:0032964	collagen biosynthetic process	1.98e-03	1.98e-03	1	VIM,TRAM2,COL1A1,TGFB3,BMP4,COL5A1,CREB3L1,F2R
GO:0030574	collagen catabolic process	1.98e-03	1.98e-03	1	MRC2,FAP,MMP2,MMP11,CTSK,ITGB1,MMP14,COL15A1
GO:0010712	regulation of collagen metabolic process	1.27e-03	1.27e-03	1	VIM,FAP,TGFB3,BMP4,ITGB1,CREB3L1,MFAP4,F2R
GO:0010714	positive regulation of collagen metabolic process	7.97e-03	7.97e-03	1	VIM,TGFB3,BMP4,CREB3L1,F2R
GO:0032967	positive regulation of collagen biosynthetic process	7.97e-03	7.97e-03	1	VIM,TGFB3,BMP4,CREB3L1,F2R
GO:0006929	substrate-dependent cell migration	4.87e-03	4.87e-03	1	SNAI2,FN1,ITGA11,SLIT2,VEGFC,ITGA2
GO:0050803	regulation of synapse structure or activity	9.48e-03	9.48e-03	1	FYN,ABL1,SRPX2,LRRC4B,LRP4,APP,PTPRD,NLGN2,CDK5R1,ROBO2,ARC,ARHGEF15
GO:0050808	synapse organization	9.95e-06	9.95e-06	1	FYN,PCDHB4,NRCAM,ABL1,SRPX2,SPOCK2,PCDHB6,PDZRN3,LRRC4B,DLG4,LRP4,ZNF365,APP,SDK1,NLGN4X,LRRC4C,FARP1,PTPRD,FZD1,NTNG1,NLGN2,CDK5R1,F2R,ROBO2,ARC,ARHGEF15,ELFN1
GO:0099172	presynapse organization	1.68e-02	1.68e-02	1	LRP4,NLGN4X,PTPRD,FZD1,NLGN2
GO:0097090	presynaptic membrane organization	2.22e-02	2.22e-02	1	LRP4,NLGN4X,PTPRD,NLGN2
GO:0007416	synapse assembly	1.78e-03	1.78e-03	1	PCDHB4,NRCAM,SRPX2,SPOCK2,PCDHB6,LRRC4B,LRP4,SDK1,NLGN4X,FARP1,PTPRD,FZD1,NLGN2,ROBO2
GO:0099054	presynapse assembly	1.68e-02	1.68e-02	1	LRP4,NLGN4X,PTPRD,FZD1,NLGN2
GO:0071709	membrane assembly	4.69e-02	4.69e-02	1	CAV1,LRP4,NLGN4X,PTPRD,NLGN2
GO:0097105	presynaptic membrane assembly	1.22e-02	1.22e-02	1	LRP4,NLGN4X,PTPRD,NLGN2
GO:0050807	regulation of synapse organization	1.93e-02	1.93e-02	1	FYN,ABL1,SRPX2,LRRC4B,LRP4,PTPRD,NLGN2,CDK5R1,ROBO2,ARC,ARHGEF15
GO:0097104	postsynaptic membrane assembly	4.48e-02	4.48e-02	1	LRP4,NLGN4X,NLGN2
GO:0038065	collagen-activated signaling pathway	6.31e-03	6.31e-03	1	ITGA11,DDR2,ITGA2
GO:0007224	smoothened signaling pathway	4.89e-02	4.89e-02	1	EVC,GLI2,CHRD,SFRP1,GLI3,BMP4,GLIS2,SMO,GAS1
GO:0098727	maintenance of cell number	3.22e-02	3.22e-02	1	IGF1,SALL4,FOXP1,LOXL2,HMGA2,FZD7,KIT,SKI,SIX2,NOG
GO:0043491	protein kinase B signaling	2.91e-03	2.91e-03	1	FYN,IGF1,HGF,FGFR3,RASD2,SEMA5A,FGF1,PDGFRB,RTN4,F3,TEK,KDR,PDGFRA,SPRY2,CCL21,THBS1,FGF7,EPHA2,ITGB1,ANGPT1,KIT,IGF2,IRS1,MC1R
GO:0051896	regulation of protein kinase B signaling	6.25e-03	6.25e-03	1	FYN,HGF,FGFR3,RASD2,SEMA5A,FGF1,PDGFRB,RTN4,F3,TEK,PDGFRA,SPRY2,CCL21,THBS1,FGF7,EPHA2,ITGB1,ANGPT1,KIT,IGF2,IRS1,MC1R
GO:0051897	positive regulation of protein kinase B signaling	6.31e-04	6.31e-04	1	FYN,HGF,FGFR3,RASD2,SEMA5A,FGF1,PDGFRB,RTN4,F3,TEK,PDGFRA,SPRY2,CCL21,THBS1,FGF7,ITGB1,ANGPT1,KIT,IGF2,IRS1,MC1R
GO:1903727	positive regulation of phospholipid metabolic process	2.50e-02	2.50e-02	1	FGFR3,PDGFRB,TEK,PDGFRA,CCL21,KIT,IRS1
GO:0043551	regulation of phosphatidylinositol 3-kinase activity	2.85e-02	2.85e-02	1	FGFR3,PDGFRB,TEK,PDGFRA,CCL21,KIT,IRS1
GO:0090218	positive regulation of lipid kinase activity	7.83e-03	7.83e-03	1	FGFR3,PDGFRB,TEK,PDGFRA,CCL21,KIT,IRS1
GO:0043552	positive regulation of phosphatidylinositol 3-kinase activity	4.35e-03	4.35e-03	1	FGFR3,PDGFRB,TEK,PDGFRA,CCL21,KIT,IRS1
GO:2001238	positive regulation of extrinsic apoptotic signaling pathway	3.47e-02	3.47e-02	1	TIMP3,SFRP1,CAV1,INHBA,AGT,THBS1
GO:1902043	positive regulation of extrinsic apoptotic signaling pathway via death domain receptors	2.22e-02	2.22e-02	1	TIMP3,SFRP1,THBS1
GO:0070828	heterochromatin organization	4.40e-02	4.40e-02	1	SNAI1,LOXL2,HMGA2,BAHCC1
GO:0034762	regulation of transmembrane transport	3.25e-03	3.25e-03	1	FYN,IGF1,GOPC,NGFR,NEDD4,CACNG4,JPH4,SORBS1,CAV1,RARRES2,PDE4D,SLC2A1,PKD2,PLCG1,ATP1B2,DPP6,DLG4,APLNR,THBS1,APP,JPH2,ADRA2A,CACNA1C,PID1,THY1,IRS1,KCNAB1,NLGN2,F2R,DAPK1,ENPP1,PLN
GO:0034765	regulation of ion transmembrane transport	3.13e-02	3.13e-02	1	FYN,GOPC,NEDD4,CACNG4,JPH4,CAV1,PDE4D,PKD2,PLCG1,ATP1B2,DPP6,DLG4,APLNR,THBS1,APP,JPH2,ADRA2A,CACNA1C,THY1,KCNAB1,NLGN2,F2R,DAPK1,PLN
GO:1904062	regulation of cation transmembrane transport	4.02e-02	4.02e-02	1	FYN,NEDD4,CACNG4,JPH4,CAV1,PDE4D,PKD2,PLCG1,ATP1B2,DPP6,DLG4,APLNR,APP,JPH2,ADRA2A,CACNA1C,THY1,KCNAB1,NLGN2,F2R,DAPK1,PLN
GO:0008643	carbohydrate transport	2.48e-02	2.48e-02	1	IGF1,SLC2A3,NGFR,SORBS1,RARRES2,SLC2A1,EDNRA,PID1,IRS1,SLC2A10,ENPP1,AQP1
GO:0034219	carbohydrate transmembrane transport	3.49e-02	3.49e-02	1	IGF1,SLC2A3,NGFR,SORBS1,RARRES2,SLC2A1,EDNRA,PID1,IRS1,SLC2A10,ENPP1
